,0,1,2
370,4.5,46,"[11, 14, 17]"
371,2.75,14,[17]
372,4.0,10,"[26, 34]"
373,2.5,14,"[19, 42]"
374,1.75,21,"[25, 44]"
375,3.25,16,"[12, 15]"
376,5.0,16,"[19, 39]"
377,4.5,13,"[27, 29]"
378,5.5,9,"[21, 24]"
379,2.0,25,"[16, 19]"
380,5.75,17,[17]
381,3.0,17,"[15, 18]"
382,3.0,14,"[19, 21]"
383,4.5,13,[15]
384,1.75,7,"[22, 25]"
385,3.0,16,"[19, 34]"
386,3.5,16,"[11, 14]"
387,3.25,10,"[21, 36]"
388,3.75,47,"[26, 39]"
389,4.25,42,"[29, 39]"
390,4.75,60,[36]
391,3.0,28,"[27, 45]"
392,3.25,25,[13]
393,4.5,18,"[33, 36]"
394,2.75,24,"[34, 37]"
395,4.75,22,"[21, 24]"
396,4.0,32,"[32, 35, 43]"
397,2.0,52,"[31, 39]"
398,5.25,14,[26]
399,3.25,13,"[21, 24]"
400,1.5,37,"[32, 35, 38, 45]"
401,2.25,13,"[25, 28]"
402,3.0,26,"[23, 26]"
403,2.75,19,"[32, 43]"
404,4.25,4,"[14, 21]"
405,5.25,15,"[11, 14]"
406,3.25,11,[17]
407,3.5,7,[37]
408,2.5,33,"[28, 42]"
409,3.25,11,"[21, 24]"
410,5.5,8,"[21, 24]"
411,2.75,19,"[25, 31]"
412,5.0,23,"[29, 44]"
413,2.75,12,"[26, 29]"
414,3.5,12,"[19, 38]"
415,3.25,11,"[25, 28]"
416,3.75,30,"[24, 27]"
417,4.25,26,"[12, 15]"
418,3.0,45,"[33, 36]"
419,4.25,9,"[13, 16, 22]"
420,3.5,12,"[14, 45]"
421,3.25,19,"[12, 34]"
422,3.5,18,"[31, 32]"
423,5.0,49,"[12, 32]"
424,3.5,27,"[11, 39]"
425,4.0,17,"[11, 14]"
426,4.5,11,"[33, 36]"
427,3.0,21,"[42, 43]"
428,3.5,20,"[13, 16]"
429,1.25,41,"[29, 41]"
430,4.5,19,[27]
431,3.25,22,"[29, 47]"
432,1.75,22,"[11, 47]"
433,4.5,10,[27]
434,4.75,5,[23]
435,6.75,12,[14]
436,4.75,8,"[21, 24, 27]"
437,1.75,23,"[25, 26]"
438,3.5,22,"[36, 39]"
439,4.5,9,"[35, 38]"
440,5.5,6,"[16, 19]"
441,5.0,5,"[14, 17]"
442,2.25,19,"[11, 14, 17]"
443,4.75,4,"[41, 43]"
444,1.75,29,"[33, 36]"
445,3.5,7,"[25, 28]"
446,1.5,12,"[21, 45]"
447,5.0,26,"[29, 32]"
448,1.75,13,"[14, 17]"
449,1.5,21,"[31, 34]"
450,2.0,29,"[16, 19]"
451,3.5,16,"[45, 46]"
452,3.0,16,"[22, 25, 28]"
453,3.0,26,"[13, 16]"
454,5.0,25,"[26, 31]"
455,1.5,18,"[28, 39]"
456,3.5,22,"[21, 33]"
457,5.25,19,[33]
458,3.0,26,"[23, 26]"
459,3.25,16,"[11, 22]"
460,2.25,39,"[31, 34]"
461,5.0,8,"[21, 24, 26]"
462,3.0,26,"[12, 29]"
463,4.0,18,[37]
464,6.75,18,"[13, 14, 16, 19]"
465,3.25,17,"[21, 24]"
466,3.0,11,"[23, 26]"
467,3.5,38,"[39, 43]"
468,5.25,12,"[21, 39]"
469,5.0,2,"[41, 43]"
470,2.5,21,"[24, 47]"
471,2.75,25,[24]
472,1.75,41,"[33, 39]"
473,1.75,9,"[36, 39]"
474,5.25,36,"[31, 34]"
475,2.5,10,[27]
476,3.5,42,[36]
477,2.75,18,"[11, 16]"
478,2.0,33,[22]
479,5.0,22,"[13, 16]"
480,5.0,16,[27]
481,1.5,24,"[22, 45]"
482,7.0,19,"[26, 29]"
483,3.75,21,"[24, 37]"
484,1.75,22,"[23, 26]"
485,3.5,18,"[36, 39]"
486,1.25,26,"[24, 27]"
487,1.25,27,"[34, 35]"
488,4.75,10,"[22, 25]"
489,3.5,12,"[11, 14]"
490,1.25,24,"[45, 47]"
491,3.5,21,"[21, 42]"
492,3.25,16,"[42, 46]"
493,5.25,17,"[31, 34]"
494,3.0,29,"[37, 41]"
495,4.0,17,[33]
496,3.25,16,"[36, 45]"
497,3.25,32,[25]
498,3.0,19,"[24, 27]"
499,2.75,24,"[26, 29]"
500,3.5,21,"[19, 22]"
501,3.25,20,"[19, 46]"
502,5.0,21,[37]
503,3.25,7,"[36, 39]"
504,2.25,54,"[12, 15]"
505,2.75,20,"[11, 14, 17]"
506,1.5,21,"[33, 36]"
507,4.5,34,"[21, 24]"
508,3.0,19,"[25, 28]"
509,1.75,16,"[34, 37]"
510,3.25,11,"[23, 26]"
511,1.5,42,"[21, 24, 31]"
512,4.5,11,"[11, 14]"
513,3.25,22,"[22, 25]"
514,4.75,34,"[21, 32]"
515,1.0,22,"[23, 26]"
516,3.25,22,[14]
517,2.0,16,"[24, 27]"
518,1.5,13,"[12, 23]"
519,1.0,13,"[31, 43]"
520,3.5,5,[34]
521,3.75,18,"[14, 17]"
522,3.5,19,"[21, 24]"
523,5.5,25,"[24, 27]"
524,3.5,9,"[25, 28, 44]"
525,4.75,14,"[19, 47]"
526,3.75,9,[37]
527,3.25,14,[12]
528,1.75,16,"[13, 16]"
529,2.0,19,"[23, 26]"
530,4.5,29,"[31, 34, 37]"
531,5.25,16,[32]
532,3.0,22,"[28, 39]"
533,2.0,35,"[14, 17, 21]"
534,2.75,15,"[28, 47]"
535,1.5,12,"[14, 17]"
536,2.0,16,"[17, 31]"
537,6.25,15,"[22, 25, 28]"
538,4.5,17,"[36, 47]"
539,4.0,20,"[31, 39]"
540,5.0,46,"[31, 34, 37]"
541,5.5,9,[15]
542,3.25,18,"[35, 45]"
543,1.75,22,"[24, 27]"
544,3.25,16,"[12, 15]"
545,5.0,14,"[22, 25]"
546,1.5,8,"[34, 43]"
547,3.5,14,"[14, 36, 39]"
548,2.0,19,"[16, 22]"
549,3.5,31,"[14, 17]"
550,4.0,18,"[32, 34]"
551,3.5,20,"[37, 39]"
552,2.5,24,"[23, 26]"
553,2.25,12,"[17, 36]"
554,2.5,24,"[26, 27]"
555,2.25,35,[25]
